"","Trend_Time","Trend","Trend_Q0.025","Trend_Q0.975","Number_of_Routes","Region","trend_type"
"204","Short-term",-1.98777010921009,-4.62513654260667,0.513102742460526,20,"US-IN-24","Short"
"205","Short-term",-0.759885095972568,-4.87950715158822,3.12818210684595,8,"US-KS-18","Short"
"206","Short-term",-3.99993318332259,-5.95306187327335,-2.00554530842726,34,"US-KS-19","Short"
"207","Short-term",-3.79912046893534,-6.09929177394804,-1.68297095084189,21,"US-KS-22","Short"
"208","Short-term",-3.79076049158011,-5.27274376847283,-2.02778636909611,33,"US-KY-24","Short"
"209","Short-term",-5.98764130214166,-9.31768113807727,-2.44377782510592,12,"US-KY-28","Short"
"210","Short-term",-3.10195550648099,-6.38169320789579,0.18136965289855,31,"US-LA-25","Short"
"211","Short-term",0.604927656839016,-2.843510497009,4.2840012797522,22,"US-LA-26","Short"
"212","Short-term",0.872630398595964,-3.38365281524343,5.22340862031754,6,"US-LA-27","Short"
"213","Short-term",-1.43247282538195,-5.12651219818785,2.31932532571881,17,"US-LA-37","Short"
"214","Short-term",-1.62645647504232,-6.57256400463784,3.20447594112755,7,"US-MA-14","Short"
"215","Short-term",0.914512844077264,-2.19403145535578,4.41757843068426,18,"US-MA-30","Short"
"216","Short-term",-4.01036902080215,-7.64810150826501,-0.172786455868993,9,"CA-MB-12","Short"
"217","Short-term",0.895770895990733,-1.93952386898638,3.40508352418795,25,"CA-MB-6","Short"
"218","Short-term",0.671531181955476,-1.42602488595066,2.64484997813298,36,"CA-MB-11","Short"
"219","Short-term",3.26014828577189,-5.03436498934102,12.4243834644394,4,"CA-MB-8","Short"
"220","Short-term",-2.89428748202442,-5.90283831157374,-0.158845926732321,14,"US-MD-28","Short"
"221","Short-term",-2.63791430529569,-5.44290948579393,0.086544444566336,16,"US-MD-29","Short"
"222","Short-term",-3.73994423215187,-5.54273330407971,-1.90896475109038,36,"US-MD-30","Short"
"223","Short-term",-4.82216955455418,-8.1435548936523,-1.42411184856274,62,"US-ME-14","Short"
"224","Short-term",-4.24933120443472,-7.54136154482651,-0.753320787995133,42,"US-MI-12","Short"
"225","Short-term",-3.20209038125719,-5.35352866814505,-1.00154498923961,38,"US-MI-23","Short"
"226","Short-term",0.276008750560786,-2.12744857973181,2.48324637976976,27,"US-MN-11","Short"
"227","Short-term",-2.83761235237576,-6.05991607794649,0.242786909434655,31,"US-MN-12","Short"
"228","Short-term",-0.640255687957375,-3.99977865024311,2.63314202553981,5,"US-MN-22","Short"
"229","Short-term",-2.81492744871135,-5.68241137936479,-0.00657121993962526,18,"US-MN-23","Short"
"230","Short-term",-0.884539329031214,-3.10814631228032,1.20398677729863,40,"US-MO-22","Short"
"231","Short-term",-6.22108920847879,-8.32164876885971,-3.72949602283552,39,"US-MO-24","Short"
"232","Short-term",0.877400827101649,-2.89111042008875,4.7863375240049,5,"US-MO-26","Short"
"233","Short-term",-0.817141391015813,-7.57547561204923,5.38938623076345,7,"US-MS-26","Short"
"234","Short-term",-3.17518664733407,-5.65749733535638,-0.545838503303103,36,"US-MS-27","Short"
"235","Short-term",-1.48913264790626,-5.33014095859078,2.00057600714975,34,"US-MT-10","Short"
"236","Short-term",1.79401672621823,-2.08070433894599,6.58964432554015,20,"US-MT-11","Short"
